source_role,target_role,similarity_score,shared_skills,missing_skills,recommended_next_skills
Machine Learning Engineer,Data Engineer,0.798,"aws, azure, gcp, git, java, python, spark, sql","airflow, databricks, hadoop, kafka, nosql, scala, snowflake","hadoop, scala, snowflake, databricks, kafka"
Machine Learning Engineer,Senior Data Engineer,0.7941,"aws, azure, gcp, java, python, spark, sql","airflow, databricks, hadoop, kafka, nosql, redshift, scala, snowflake","hadoop, scala, snowflake, kafka, databricks"
Machine Learning Engineer,Cloud Engineer,0.7589,"aws, azure, docker, gcp, git, java, kubernetes, python, sql","ansible, excel, go, linux, terraform, windows","excel, linux, go, terraform, windows"
Machine Learning Engineer,Senior Data Analyst,0.5586,"aws, azure, python, r, sql","excel, looker, oracle, power bi, powerpoint, sas, snowflake, sql server, tableau, word","tableau, excel, power bi, snowflake, sas"
Machine Learning Engineer,Data Analyst,0.5216,"aws, azure, python, r, sql","excel, go, oracle, power bi, powerpoint, sap, sas, sql server, tableau, word","tableau, excel, power bi, sas, oracle"
Machine Learning Engineer,Business Analyst,0.4302,"aws, azure, python, r, sql","excel, flow, go, oracle, power bi, powerpoint, sap, sql server, tableau, word","excel, tableau, power bi, oracle, powerpoint"
Senior Data Analyst,Data Analyst,0.9834,"aws, azure, excel, oracle, power bi, powerpoint, python, r, sas, sql, sql server, tableau, word","go, sap","go, sap"
Senior Data Analyst,Business Analyst,0.9336,"aws, azure, excel, oracle, power bi, powerpoint, python, r, sql, sql server, tableau, word","flow, go, sap","go, sap, flow"
Senior Data Analyst,Data Scientist,0.8508,"aws, azure, excel, power bi, python, r, sas, sql, tableau","hadoop, java, pandas, pytorch, spark, tensorflow","spark, java, hadoop, tensorflow, pandas"
Senior Data Analyst,Senior Data Scientist,0.8341,"aws, azure, excel, python, r, sas, sql, tableau","hadoop, java, pandas, pytorch, scikit-learn, spark, tensorflow","spark, java, hadoop, tensorflow, pandas"
Senior Data Analyst,Data Engineer,0.7543,"aws, azure, python, snowflake, sql","airflow, databricks, gcp, git, hadoop, java, kafka, nosql, scala, spark","spark, java, hadoop, scala, databricks"
Senior Data Analyst,Senior Data Engineer,0.7089,"aws, azure, python, snowflake, sql","airflow, databricks, gcp, hadoop, java, kafka, nosql, redshift, scala, spark","spark, java, hadoop, scala, kafka"
Senior Data Analyst,Software Engineer,0.6305,"aws, azure, python, sql","docker, gcp, git, go, java, javascript, kafka, kubernetes, linux, react, spark","spark, java, git, kafka, gcp"
Senior Data Analyst,Cloud Engineer,0.5777,"aws, azure, excel, python, sql","ansible, docker, gcp, git, go, java, kubernetes, linux, terraform, windows","java, gcp, git, kubernetes, docker"
Senior Data Analyst,Machine Learning Engineer,0.5586,"aws, azure, python, r, sql","docker, gcp, git, java, kubernetes, pandas, pytorch, scikit-learn, spark, tensorflow","spark, java, tensorflow, gcp, pytorch"
Senior Data Engineer,Data Engineer,0.9948,"airflow, aws, azure, databricks, gcp, hadoop, java, kafka, nosql, python, scala, snowflake, spark, sql",git,git
Senior Data Engineer,Software Engineer,0.8699,"aws, azure, gcp, java, kafka, python, spark, sql","docker, git, go, javascript, kubernetes, linux, react","git, docker, kubernetes, go, linux"
Senior Data Engineer,Senior Data Scientist,0.8436,"aws, azure, hadoop, java, python, spark, sql","excel, pandas, pytorch, r, sas, scikit-learn, tableau, tensorflow","tableau, r, excel, sas, tensorflow"
Senior Data Engineer,Cloud Engineer,0.8386,"aws, azure, gcp, java, python, sql","ansible, docker, excel, git, go, kubernetes, linux, terraform, windows","excel, git, kubernetes, docker, linux"
Senior Data Engineer,Data Scientist,0.8194,"aws, azure, hadoop, java, python, spark, sql","excel, pandas, power bi, pytorch, r, sas, tableau, tensorflow","tableau, r, excel, power bi, sas"
Senior Data Engineer,Machine Learning Engineer,0.7941,"aws, azure, gcp, java, python, spark, sql","docker, git, kubernetes, pandas, pytorch, r, scikit-learn, tensorflow","r, tensorflow, pytorch, docker, git"
Senior Data Engineer,Senior Data Analyst,0.7089,"aws, azure, python, snowflake, sql","excel, looker, oracle, power bi, powerpoint, r, sas, sql server, tableau, word","tableau, excel, power bi, r, sas"
Senior Data Engineer,Data Analyst,0.6538,"aws, azure, python, sql","excel, go, oracle, power bi, powerpoint, r, sap, sas, sql server, tableau, word","tableau, excel, power bi, r, sas"
Senior Data Engineer,Business Analyst,0.5743,"aws, azure, python, sql","excel, flow, go, oracle, power bi, powerpoint, r, sap, sql server, tableau, word","excel, tableau, power bi, r, oracle"
Senior Data Scientist,Data Scientist,0.9961,"aws, azure, excel, hadoop, java, pandas, python, pytorch, r, sas, spark, sql, tableau, tensorflow",power bi,power bi
Senior Data Scientist,Machine Learning Engineer,0.8721,"aws, azure, java, pandas, python, pytorch, r, scikit-learn, spark, sql, tensorflow","docker, gcp, git, kubernetes","gcp, docker, git, kubernetes"
Senior Data Scientist,Data Engineer,0.8711,"aws, azure, hadoop, java, python, spark, sql","airflow, databricks, gcp, git, kafka, nosql, scala, snowflake","scala, snowflake, databricks, kafka, gcp"
Senior Data Scientist,Senior Data Engineer,0.8436,"aws, azure, hadoop, java, python, spark, sql","airflow, databricks, gcp, kafka, nosql, redshift, scala, snowflake","scala, snowflake, kafka, databricks, gcp"
Senior Data Scientist,Senior Data Analyst,0.8341,"aws, azure, excel, python, r, sas, sql, tableau","looker, oracle, power bi, powerpoint, snowflake, sql server, word","power bi, snowflake, oracle, sql server, powerpoint"
Senior Data Scientist,Data Analyst,0.7837,"aws, azure, excel, python, r, sas, sql, tableau","go, oracle, power bi, powerpoint, sap, sql server, word","power bi, oracle, sql server, go, word"
Senior Data Scientist,Software Engineer,0.7666,"aws, azure, java, python, spark, sql","docker, gcp, git, go, javascript, kafka, kubernetes, linux, react","git, kafka, gcp, docker, kubernetes"
Senior Data Scientist,Cloud Engineer,0.7115,"aws, azure, excel, java, python, sql","ansible, docker, gcp, git, go, kubernetes, linux, terraform, windows","gcp, git, kubernetes, docker, linux"
Senior Data Scientist,Business Analyst,0.6675,"aws, azure, excel, python, r, sql, tableau","flow, go, oracle, power bi, powerpoint, sap, sql server, word","power bi, oracle, powerpoint, sql server, word"
Software Engineer,Cloud Engineer,0.9271,"aws, azure, docker, gcp, git, go, java, kubernetes, linux, python, sql","ansible, excel, terraform, windows","excel, terraform, windows, ansible"
Software Engineer,Data Engineer,0.875,"aws, azure, gcp, git, java, kafka, python, spark, sql","airflow, databricks, hadoop, nosql, scala, snowflake","hadoop, scala, snowflake, databricks, airflow"
Software Engineer,Senior Data Engineer,0.8699,"aws, azure, gcp, java, kafka, python, spark, sql","airflow, databricks, hadoop, nosql, redshift, scala, snowflake","hadoop, scala, snowflake, databricks, airflow"
Software Engineer,Machine Learning Engineer,0.8018,"aws, azure, docker, gcp, git, java, kubernetes, python, spark, sql","pandas, pytorch, r, scikit-learn, tensorflow","r, tensorflow, pytorch, pandas, scikit-learn"
Software Engineer,Senior Data Scientist,0.7666,"aws, azure, java, python, spark, sql","excel, hadoop, pandas, pytorch, r, sas, scikit-learn, tableau, tensorflow","tableau, r, excel, hadoop, sas"
Software Engineer,Data Scientist,0.7581,"aws, azure, java, python, spark, sql","excel, hadoop, pandas, power bi, pytorch, r, sas, tableau, tensorflow","tableau, r, excel, power bi, hadoop"
Software Engineer,Senior Data Analyst,0.6305,"aws, azure, python, sql","excel, looker, oracle, power bi, powerpoint, r, sas, snowflake, sql server, tableau, word","tableau, excel, power bi, r, snowflake"
Software Engineer,Data Analyst,0.6042,"aws, azure, go, python, sql","excel, oracle, power bi, powerpoint, r, sap, sas, sql server, tableau, word","tableau, excel, power bi, r, sas"
Software Engineer,Business Analyst,0.5463,"aws, azure, go, python, sql","excel, flow, oracle, power bi, powerpoint, r, sap, sql server, tableau, word","excel, tableau, power bi, r, oracle"
